tag,scalar_value,global_step
Reward,163.0,229
Mean Reward,55.75,229
Loss,0.147358882816807,230
Epsilon,0.1,230
Reward,131.0,230
Mean Reward,56.22222222222222,230
Loss,0.1704521990109851,231
Epsilon,0.1,231
Reward,127.0,231
Mean Reward,56.93,231
Loss,0.18239417888659548,232
Epsilon,0.1,232
Reward,154.0,232
Mean Reward,57.39393939393939,232
Loss,0.1460899254736992,233
Epsilon,0.1,233
Reward,195.0,233
Mean Reward,58.77,233
Loss,0.10435399846669208,234
Epsilon,0.1,234
Reward,235.0,234
Mean Reward,59.25252525252525,234
Loss,0.08397737795853591,235
Epsilon,0.1,235
Reward,249.0,235
Mean Reward,61.15,235
Loss,0.05235798093157688,236
Epsilon,0.1,236
Reward,280.0,236
Mean Reward,61.676767676767675,236
Loss,0.05223512185003722,237
Epsilon,0.1,237
Reward,165.0,237
Mean Reward,62.71,237
Loss,0.0408231664379018,238
Epsilon,0.1,238
Reward,213.0,238
Mean Reward,63.24242424242424,238
Loss,0.03840470987835217,239
Epsilon,0.1,239
Reward,183.0,239
Mean Reward,64.44,239
Loss,0.041649471587650685,240
Epsilon,0.1,240
Reward,181.0,240
Mean Reward,65.0,240
Loss,0.0346110780887744,241
Epsilon,0.1,241
Reward,204.0,241
Mean Reward,66.39,241
Loss,0.036545936480805966,242
Epsilon,0.1,242
Reward,151.0,242
Mean Reward,66.95959595959596,242
Loss,0.0336922224475226,243
Epsilon,0.1,243
Reward,144.0,243
Mean Reward,67.73,243
Loss,0.032493099572371925,244
Epsilon,0.1,244
Reward,222.0,244
Mean Reward,68.31313131313131,244
Loss,0.035448034737436546,245
Epsilon,0.1,245
Reward,210.0,245
Mean Reward,69.73,245
Loss,0.03400708124945326,246
Epsilon,0.1,246
Reward,169.0,246
Mean Reward,70.33333333333333,246
Loss,0.030074718139846534,247
Epsilon,0.1,247
Reward,170.0,247
Mean Reward,71.33,247
Loss,0.035734172699066175,248
Epsilon,0.1,248
Reward,152.0,248
Mean Reward,71.94949494949495,248
Loss,0.03706288100468248,249
Epsilon,0.1,249
Reward,169.0,249
Mean Reward,72.92,249
Loss,0.033157234895043075,250
Epsilon,0.1,250
Reward,148.0,250
Mean Reward,73.56565656565657,250
Loss,0.03256747439888347,251
Epsilon,0.1,251
Reward,184.0,251
Mean Reward,74.67,251
Loss,0.03148701260750163,252
Epsilon,0.1,252
Reward,196.0,252
Mean Reward,75.31313131313131,252
Loss,0.033125853504914836,253
Epsilon,0.1,253
Reward,158.0,253
Mean Reward,76.14,253
Loss,0.03934273370985119,254
Epsilon,0.1,254
Reward,168.0,254
Mean Reward,76.81818181818181,254
Loss,0.029369178199177157,255
Epsilon,0.1,255
Reward,145.0,255
Mean Reward,77.5,255
Loss,0.03133764263680753,256
Epsilon,0.1,256
Reward,170.0,256
